序号	英文	中文
55047	madman	"n.疯子,精神病患者"
55048	madness	"n.疯狂,愚蠢的行为"
55049	madonna	"n.圣母玛利亚,圣母像"
55050	madras	"n.马德拉斯布(一种薄棉布),一种结实耐用的丝绸"
55051	madre	" <西>n.母亲,妈妈"
55052	madrepore	n.石珊瑚(热带海洋产)
55053	madreporite	"n.[动](棘皮动物的)筛板,穿孔板"
55054	madrid	n.马德里(西班牙首都)
55055	madrigal	n.小曲
55056	madrilena	n.(西班牙)马德里女人
55057	madrilene	n.[烹](通常结冻后冷吃的)番茄清炖肉汤
55058	madrileno	n.(西班牙)马德里人
55059	madrono	n.[植]浆果鹃(一种产于北美洲西部的杜鹃花科长绿树)
55060	madurai	" 马杜赖[印度南部城市](印度教圣地,有著名的马杜赖大庙)"
55061	maduro	adj.色深味浓的烟草做的 (雪茄)色深味浓的
55062	madwoman	"n.狂女,疯女"
55063	madzoon	n.=matzoon
55064	mae	"adj.,n.&adv.<苏格兰>=more;Metropolitan Area Exchange,城域交换"
55065	maebashi	 前桥[日本本州岛中部城市]
55066	maecenas	"n.米西奈斯,文学(艺术)的资助者"
55067	maelstrom	"n.大漩涡,挪威近海的大漩涡,猛烈的力量"
55068	maenad	"n.Bacchus 的女侍,狂女"
55069	maestoso	"adj.[乐] 庄严的adv.庄严地,雄伟地"
55070	maestri	"n.大音乐家,名作曲家"
55071	maestro	"n.艺术大师,名作曲家"
55072	maffei	 galaxy[天]马菲星系
55073	maffia	"n.黑手党,秘密政党"
55074	maffick	vi.<主英>狂欢庆祝
55075	mafia	"n.黑手党,秘密政党"
55076	mafic	adj.[矿]铁镁质的
55077	mafiology	n.黑手党研究
55078	mafioso	"n.黑手党成员,秘密政党成员"
55079	mag	n.Margaret 的昵称 杂志 (magazine)
55080	magazine	"n.杂志,期刊,军火库,弹药库,(枪、炮的)弹仓,胶卷盒"
55081	magazinist	"n.杂志(或期刊)编辑,杂志(或期刊)撰稿人,杂志(或期刊)出版商"
55082	magcard	n.磁卡
55083	magcon	n.磁选(指磁性物质在月球或行星表面的集中)
55084	magda	n.玛格达(Magdalene 的昵称)(f.)
55085	magdalen	"n.(=Magdalene)从良的妓女,妓女收容所"
55086	magdalene	"n.从良的妓女,<英>妓女收容所"
55087	magdalenian	adj.马格达林期的
55088	mage	"n.魔术师,博学者"
55089	magellan	" 麦哲伦海峡(在南美洲大陆南端和火地岛等岛屿之间,沟通太平洋和大西洋)"
55090	magellanic	"adj.(葡萄牙航海家)麦哲伦的,以麦哲伦命名的,麦哲伦海峡的"
55091	magenta	"n.红紫色,洋红"
55092	maggot	"n.空想,蛆"
55093	maggotry	"n.愚蠢,荒谬"
55094	maggoty	"adj.狂想的,多蛆的"
55095	magh	n.印度历的11月
55096	maghemite	n.[矿]磁赤铁矿
55097	maghrib	 马格里布[北非一地区]
55098	magi	n.东方三博士(即寻访初生基督的三博士)n.pl.古波斯祭司名(Magus的复数)
55099	magian	"n.魔术师,古波斯之祭司adj.拜火教祭司的"
55100	magic	"n.魔法,巫术,戏法adj.魔术的,有魔力的,不可思议的"
55101	magical	adj.不可思议的
55102	magically	"adv.如魔法般地,用魔法地"
55103	magician	"n.善于变戏法的人,魔术师,术士"
55104	magicube	n.[摄](内藏机械点火器的)魔方闪光灯
55105	magilp	"n.油画用的油,似冻子之油画材料"
55106	magisterial	"adj.官气十足的,有权威的,专横的"
55107	magisterium	n.教权
55108	magistracy	"n.长官的职位,地方行政长官"
55109	magistral	"adj.[罕]威严傲慢的,主导的"
55110	magistrate	"n.文职官员,地方官员"
55111	magistrature	n.=magistracy
55112	maglemosean	adj.=Maglemosian
55113	maglemosian	"adj.马格尔莫斯文化的,北欧中石器时期文化的"
55114	maglev	n.&adj.磁力悬浮火车(的)
55115	magma	"n.(有机物或矿物的)稀糊,岩浆,[药]乳浆剂"
55116	magnalium	n.镁铝
55117	magnamycin	"n.[微]大霉素,碳霉素(carbomycin的商标名)"
55118	magnanimity	n.宽宏大量
55119	magnanimous	"adj.宽宏大量的,有雅量的"
55120	magnate	"n.大资本家,巨头,富豪,要人,...大王"
55121	magnesia	"n.镁氧,氧化镁"
55122	magnesian	"adj.氧化镁的,镁的"
55123	magnesic	adj.镁的 含镁的
55124	magnesite	n.菱镁矿
55125	magnesium	n.[化]镁
55126	magnesuim	镁
55127	magnet	"n.磁体,磁铁"
55128	magnetic	"adj.磁的,有磁性的,有吸引力的"
55129	magnetically	"adv.有磁力地,有魅力地"
55130	magnetics	n.磁学
55131	magnetisation	n.<主英>=magnetization
55132	magnetise	v.<主英>=magnetize
55133	magnetism	"n.磁,磁力,吸引力,磁学"
55134	magnetist	n.磁学家
55135	magnetite	n.磁铁矿
55136	magnetization	n.磁化
55137	magnetize	"vt.使磁化,吸引vi.受磁"
55138	magnetizer	n.导磁体
55139	magneto	n.磁发电机
55140	magnetobiology	n.磁生物学
55141	magnetochemistry	n.[化]磁化学
55142	magnetoconductivity	n.导磁性
55143	magnetodisk	n.[天]磁盘区(指被行星磁层控制区域周围的强磁力线区)
55144	magnetoelasticity	n.[物]磁致弹性
55145	magnetoelectric	 mA^`ni:tEJIktrIk/adj.磁电的//9lek`trIsEtI/n.磁电
55146	magnetofluiddynamic	 mA^`ni:tE9flU:IddaI`nAmIkJ9flU:IddaI`nAmI/adj.[物]磁流体_s/[复]n.[用作单(学)的
55147	magnetofluidmechanic	 mA^`ni:tJ9flU:IdmI`KanIkEJ9flU:IdmI`kAnI/adj.[物]磁流体_s/[复]n.[用作单(学)的
55148	magnetogasdynamic	 mA^`ni:tEJ9AsdaI`nAmIk/adj.^AsdaI`nAmIks/[_物]磁气体动力(汛]n.[用作单][物)的
55149	magnetogenerator	n.=magneto
55150	magnetogram	n.磁力图
55151	magnetograph	n.磁力记录计
55152	magnetohydrodynamic	 mA^`ni:tE9haIdrEJdaI`nAmIJ9haIdrEJdaI`nAmk/adj.[物]磁流体Iks/[复]n.[用作刀(学)的
55153	magnetometer	n.磁力计
55154	magnetometive	adj.[电] 磁势的
55155	magnetomotive	adj.[电]磁势的
55156	magneton	n.磁子
55157	magnetooptic	"adj.[物]磁光的,磁场对光线的影响的"
55158	magnetooptical	"adj.[物]磁光的,磁场对光线的影响的"
55159	magnetooptics	[复]n.[用作单][物]磁光学
55160	magnetopause	"n.磁顶,磁(大气层)顶层"
55161	magnetophone	n.磁带录音机
55162	magnetoplasmadynamic	 mA^`ni:tJ9plAzmEdaI`nAmIEJ9plAzmEdaI`nAmk/adj.[物] 磁等_ks/[复]n.[用作惦子流体动力的
55163	magnetoresistance	n.[物]磁致电阻
55164	magnetoscope	n.验磁器
55165	magnetosheath	n.磁鞘(行星磁层外围的薄层)
55166	magnetosphere	n.磁气圈
55167	magnetostatic	adj.[物]静磁的
55168	magnetostatics	[复]n.[用作单][物]静磁学
55169	magnetotactic	"adj.[生]具趋磁性的,有磁趋向性的"
55170	magnetotail	n.[物]磁(层)尾
55171	magnetotaxis	"n.[生]趋磁性,磁趋向(性)"
55172	magnetotelluric	adj.[物]大地电磁的
55173	magnetron	n.磁电管
55174	magnicide	n.(行刺要人的)重大谋杀
55175	magnific	"adj.庄严的,崇高的"
55176	magnifical	"adj.庄严的,崇高的"
55177	magnificat	"n.(用于晚祷的)圣母玛利亚颂,颂歌"
55178	magnification	"n.扩大,放大倍率"
55179	magnificence	"n.华丽,富丽堂皇"
55180	magnificent	"adj.华丽的,高尚的,宏伟的"
55181	magnifico	"n.(古威尼斯的)贵族,高官,显要人物"
55182	magnifier	"n.放大镜,放大器"
55183	magnify	"vt.放大,扩大,赞美,夸大,夸张vi.有放大能力"
55184	magniloquence	"n.夸夸其谈,夸大,虚夸"
55185	magniloquent	"adj.使用夸张语言的,华而不实的,夸张的"
55186	magnipotent	adj.<罕>强有力的
55187	magnisonant	adj.<古>夸大的 高调的
55188	magnistor	"n.磁变图,磁开关"
55189	magnitogorsk	 马格尼托哥尔斯克[苏联乌拉尔河上游城市]
55190	magnitude	"n.大小,数量,巨大,广大,量级"
55191	magnolia	"n.木兰,玉兰类的植物"
55192	magnoliaceous	adj.[植]木兰科的
55193	magnon	n.[物]磁振子
55194	magnum	n.大酒瓶(容量约为2/5加仑)
55195	magnus	" effect[物]马格纳斯效应,马格纳斯力 ;hitch[海]天幕结,鲁班结"
55196	magpie	n.鹊
55197	magsman	n.骗子
55198	maguey	"n.[植]龙舌兰,其纤维"
55199	magus	"n.魔术家,占星家"
55200	magyar	"n.马扎尔人(匈牙利的主要民族),马扎尔语adj.马扎尔人的,匈牙利人的"
55201	mahabad	 马哈巴德[伊朗西北部城市]
55202	mahabharata	"n.<<摩呵婆罗多>>,一译<<玛哈帕腊达>>亦作Mahabharatam,Mahabharatum"
55203	mahaleb	n.[植]马哈利酸樱桃(其核可制香水 亦作mahaleb cherry)
55204	maharaja	n.王公(印度对君候之敬称)
55205	maharanee	"n.<印> 王公之妻,女君主"
55206	maharashtrian	adj.马哈拉施特拉的
55207	mahatma	"n.大圣,超人"
55208	mahayana	n.大乘佛教
55209	mahdi	n.救世主
55210	mahewu	n.(南非黑人用以提神的)发酵玉米粥
55211	mahlerian	adj.(奥地利作曲家及指挥家)马勒的 马勒乐曲的
55212	mahlstick	n.腕杖
55213	mahoe	n.[植](西印度群岛产的)瑞香科灌木
55214	mahoganize	"vt.将(木材)涂成红木状,使像红木"
55215	mahogany	"n.[植]桃花心木,其木材,红褐色"
55216	mahomet	n.穆罕默德(伊斯兰教创始人)
55217	mahometan	n.伊斯兰教徒adj.伊斯兰教的
55218	mahout	n.(印度及东印度群岛的)看象人
55219	mahratta	n.马拉他人
55220	mahratti	adj.&n.=Marathi
55221	mahren	 <德>=Moravia
55222	mahzor	 <希伯来>n.(犹太教在节日、祭日举行礼拜仪式时用的)祈祷书[字面意义:cycle]
55223	maid	"n.少女,女仆"
55224	maidan	"n.<印> 练兵场,操场"
55225	maiden	"n.少女,处女adj.未婚的,纯洁的,处女的,无经验的"
55226	maidenhair	"n.掌叶铁线蕨,铁线蕨"
55227	maidenhead	n.处女膜
55228	maidenhood	"n.处女性,处女时代"
55229	maidenish	"adj.处女的,似处女的"
55230	maidenlike	"adj.像处女的,娇羞的"
55231	maidenliness	"n.谨慎,处女样子,柔和"
55232	maidenly	"adj.处女般的,适合于少女的,柔和的"
55233	maidhood	n.=maidenhood
55234	maidless	"adj.没有侍女的,不雇女仆的"
55235	maidservant	"n.女仆,女佣"
55236	maidstone	 梅德斯通[英国英格兰东南部城市](肯特郡首府)
55237	maidy	n.小女孩
55238	maieutic	"adj.接生术的,使对方领悟的"
55239	maiger	n.<美>=maigre
55240	maigre	"adj.无肉的,素食的"
55241	maihem	n.=mayhem
55242	mail	"n.邮件,邮政,盔甲vt.邮寄,给...穿盔甲"
55243	mailable	adj.可邮寄的
55244	mailbag	n.邮袋
55245	mailboat	n.(装运邮件的)邮船
55246	mailbox	"n.<美>邮筒,邮箱"
55247	mailcatcher	n.邮包取送器(从邮包吊杆接取或发送邮包的装置)
55248	mailclad	n.穿盔甲的人
55249	mailcoach	"n.{铁}邮政车,邮车"
55250	maile	n.[植]齐墩果状念珠藤
55251	mailer	"n.<美>邮寄者,信封,包装邮件用的箱(或匣),邮寄广告性印刷品"
55252	mailing	"n.<美>邮寄,投递,邮件,<苏格兰>农场租金"
55253	maillot	"n.女游泳衣,(体操运动员穿的)紧身衣"
55254	mailman	n.邮差
55255	mailplane	n.邮机
55256	maim	"vt.使残废,使不能工作"
55257	maimed	"adj.受伤的,残废的"
55258	main	"n.主要部分,体力,力量,大陆,要点,干线adj.主要的,重要的,全力的n.[计] 主群组"
55259	mainboard	"主机板,主板"
55260	mainboom	n.系主帆的帆角的圆木
55261	maine	n.缅因州(美国东北角的州)
55262	mainframe	n.[计]主机 大型机
55263	mainland	n.大陆
55264	mainline	n.静脉注射[打针]
55265	mainliner	n.主干线列车
55266	mainly	"adv.大体上,主要地"
55267	mainmast	n.主桅
55268	mainour	n.<旧>{英律}在盗贼身上搜到的赃物
55269	mainprise	n.[律] 保释
55270	mainsail	"n.主桅的帆,主帆,主桅帆"
55271	mainsheet	n.主桅帆操纵索
55272	mainspring	"n.(钟表的)主发条,主要原因"
55273	mainstay	"n.支柱,中流砥柱"
55274	mainstream	n.主流
55275	mainstreet	vi.<美> <加拿大> 在大街上进行竞选活动
55276	maintain	"vt.维持,维修,继续,供养,主张"
55277	maintainability	可维护性
55278	maintainable	"adj.可维持的,主张的"
55279	maintainor	n.[律](英美刑法) 犯包揽诉讼罪者
55280	maintenance	"n.维护,保持,生活费用,扶养"
55281	maintop	n.主桅楼
55282	maintopmast	n.主桅
55283	maintopsail	n.中帆
55284	mairie	 <法>n.市政厅;镇(或区)公所
55285	maisie	n.梅齐(Margaret 的昵称)(f.)
55286	maisonette	"n.小房屋,出租房间"
55287	maisonnette	n.小屋
55288	maist	"adj.,adv.&n.<苏格兰>=most"
55289	maize	"n.玉米,黄色adj.玉米色的,黄色的"
55290	maizuru	 舞鹤[日本本州岛中西岸港市]
55291	maja	n.(西班牙下层社会的)穿着俗艳的美女
55292	majagua	n.[植]牙买加黄槿
55293	majestic	"adj.宏伟的,庄严的"
55294	majestical	"adj.宏伟的,庄严的"
55295	majesty	"n.最高权威,王权,雄伟"
55296	majlis	n.(伊朗)议会
55297	majolica	n.意大利产花饰陶器及仿制品
55298	major	"n.<美>[教]主修课,[律]成年人,[乐]大调adj.主修的,成年的,大调的vi.主修"
55299	majorca	 =Mallorca
55300	majorcan	"adj.(西班牙东部的)马略卡岛的,马略卡人的n.马略卡人,马略卡语"
55301	majordomo	"n.管家,总监"
55302	majorette	"n.鼓手队长,军乐队队长或指挥"
55303	majoritarian	n.多数主义者
55304	majority	"n.多数,大半n.[律] 成年"
55305	majuscule	n.大写字母
55306	makable	"adj.可制作的,可制造的,可建造的,可标记的"
55307	makah	 =Makkah
55308	makar	n.<苏格兰>诗人
55309	make	"vt.制造,安排,使成为,认为,产生,获得,进行,构成vi.开始,前进,增大,被制造,被处理n.制造,构造,性情"
55310	makeable	adj.=makable
55311	makebate	"n.<古>惹是生非的人(或事物),挑起争斗的人(或事物)"
55312	makeevka	 =Makeyevka
55313	makefast	"n.系船的柱,浮标等物"
55314	maker	"n.制造者,上帝,[律]发期票的人"
55315	makeshift	"n.将就,凑合,权宜之计adj.权宜之计的,凑合的"
55316	makeup	"n.天性,化妆品,补充,虚构,组成,结构,补考,体格"
55317	makeyevka	 马凯耶夫卡[苏联乌克兰东南部城市]
55318	makhachkala	 马哈奇卡拉[苏联西南部港市](位于里海西岸)
55319	makimono	 <日>n.书画卷轴
55320	making	"n.制造,发展,素质"
55321	makkoli	 <朝鲜语>n.麦酒(一种含酒精的淡褐色浑浊饮料)
55322	maksoorah	n.(伊斯兰教寺院中)坟地(或祈祷场)的围屏(或间壁)
55323	makuta	 likuta 的复数
55324	mal	" <法>n.病,疾病;不适"
55325	malabar	 马拉巴尔海岸[印度西南部一沿海地区]
55326	malabo	 马拉博[赤道几内亚首都](旧称圣伊萨贝尔
55327	malabsorption	"n.[医](营养)吸收障碍,吸收不良"
55328	malacca	" 马六甲海峡(在亚洲东南部马来半岛和印度尼西亚的苏门答腊岛之间,沟通太平洋和印度洋) ;n.=Malacca cane adj.用马六甲白藤做的"
55329	malaceous	adj.[植]苹果科的
55330	malachi	"n.[圣经]希伯莱的先知,玛拉基书"
55331	malachite	n.孔雀石
55332	malacoderm	n.软皮动物
55333	malacology	n.软体动物学
55334	malacophyllous	adj.[植]柔叶的
55335	malacopterygian	adj.软鳍类的
55336	malacostracan	adj.软甲亚纲的
55337	malacostracous	adj.=malacostracan
55338	maladapt	vt.使不适应 使适应不良
55339	maladaptation	n.不适应 适应不良
55340	maladaptive	adj.不适应的 适应不良的 不利于适应的 显示不适应的
55341	maladdress	n.笨拙 不圆滑
55342	maladept	"adj.不熟练的,不内行的"
55343	maladjusted	"adj.失调的,不适应环境的"
55344	maladjustive	"adj.不利于调节的 引起调节不良的,引起失调的"
55345	maladjustment	"n.失调,不适应"
55346	maladminister	vt.对...处理不善
55347	maladministration	"n.暴政,乱政"
55348	maladroit	adj.不灵巧的
55349	malady	n.疾病
55350	malaga	"n.Malaga 产葡萄,Malaga 产葡萄酒"
55351	malagasy	"n.马达加斯加人,马尔加什人[语]adj.马尔加什人[语]的"
55352	malaguena	"n.西班牙 Malaga 地方的舞蹈,其舞曲"
55353	malaise	n.不舒服
55354	malaita	 马莱塔岛[西南太平洋](岛国所罗门群岛的一个大岛)
55355	malajustment	"n.失调,适应不良"
55356	malam	n.=mallam
55357	malamute	n.爱斯基摩狗
55358	malanders	"[复]n.[用作单][兽医]马膝湿疹(亦作 malandria,malenders)"
55359	malang	 玛琅[印度尼西亚爪哇岛东部城市]
55360	malanga	n.[植]暗绿叶黄体芋
55361	malapert	"adj.不客气的,厚脸皮的n.不客气,厚脸皮"
55362	malapportion	vt.<美>不公平(或不适当)地分配(选区或立法机关)的代表权
55363	malapportioned	adj.分配不公平的
55364	malapportionment	n.<美>(立法机关中)代表名额的分配不公平(或不合适)
55365	malaprop	adj.用词错误可笑的
55366	malapropism	"n.词语误用,用词错误可笑"
55367	malapropos	adj.不合时宜的
55368	malar	adj.颊的n.颧骨
55369	malaria	"n.疟疾,瘴气"
55370	malarial	"adj.患疟疾的,毒气的"
55371	malariology	n.[医]疟疾学
55372	malarious	"adj.(患)疟疾的,(有)瘴气的"
55373	malarkey	"n.说大话,胡说"
55374	malarky	n.空话
55375	malassimilation	"n.[医]同化不全,同化不良"
55376	malate	n.[化]苹果酸盐(或酯)
55377	malathion	"n.杀虫剂的一种,其商标名"
55378	malawi	n.马拉维(非洲国家)
55379	malay	"adj.马来西亚的n.马来人,马来语"
55380	malaya	"n.马来亚,马来半岛"
55381	malayalam	n.印度西南部的 Dravidian 语的一方言
55382	malayan	"n.马来人[语]adj.马来半岛的,马来人[语]的"
55383	malayanize	vt.使马来化
55384	malaysia	n.马来群岛
55385	malaysian	adj.马来群岛的n.马来群岛
55386	malconduct	"n.(尤指公职人员的)胡作非为,错误行为,恶行"
55387	malconformation	n.不完善形态 畸形结构(尤指身体各部分之间的不相称)
55388	malcontent	adj.不满的n.不满者
55389	mald	Master of Arts in Law and Diplomacy 法律外交学(文科)硕士
55390	maldevelopment	"n.畸形,变形"
55391	maldistribution	"n.(财、物等的)分配不当,分配不公 (人口、资源等的)分布不均"
55392	maldives	 马尔代夫(群岛)[亚洲岛国]
55393	maldivian	"adj.马尔代夫(群岛)的,马尔代夫人的 n.马尔代夫人[语]"
55394	male	"adj.男的,雄的,男性"
55395	malease	n.=malaise
55396	maleate	"n.[化]马来酸盐(或酯),顺丁烯二酸盐(或酯) 马来酸阴离子,顺丁烯二酸阴离子"
55397	maledict	"adj.<古>被诅咒的,被咒骂的,可恶的 vt.<书>诅咒,咒骂 憎恶"
55398	malediction	"n.咒,坏话"
55399	maledictory	"adj.诅咒的,坏话的"
55400	malee	n.<印英> =mali
55401	malefaction	n.犯罪行为
55402	malefactor	n.犯罪分子
55403	malefactress	"n.女罪犯 作恶的女人,坏女人"
55404	malefic	"n.煞星adj.有害的,邪恶的"
55405	maleficence	"n.罪行,坏事,恶行"
55406	maleficent	adj.有害的
55407	malemute	n.=Alaskan malamute
55408	malentendu	"n.误解,错释 误会"
55409	malevolence	"n.恶意,狠毒"
55410	malfeasance	"n.不正当,不法行为,渎职"
55411	malfeasant	"adj.行为不正的,不法行为的n.贪官污吏,犯罪者"
55412	malformation	"n.难看,畸形"
55413	malformed	"adj.难看的,畸形的"
55414	malfunction	n.故障
55415	mali	n.马里
55416	malibu	" board [体]马利布冲浪板(轻型,9至10英尺长,圆头方尾,底部凸出)"
55417	malic	"adj.苹果的,由苹果取得的"
55418	malice	"n.恶意,怨恨,预谋,蓄意犯罪"
55419	malicious	"adj.怀恶意的,恶毒的"
55420	maliciously	adv.有敌意地
55421	malign	v.诽谤adj.恶毒的
55422	malignance	"n.恶意,有害"
55423	malignancy	n.恶意
55424	malignant	adj.恶性的
55425	maligner	"n.诽谤者,中伤者"
55426	malignity	n.狠毒
55427	malihini	" <夏威夷语>n.新到夏威夷的人,在夏威夷的外乡人,来夏威夷的游客[字面意义: stranger]"
55428	malik	n.(巴基斯坦的)酋长
55429	malimprinted	adj.[心]缺损印记的(指动物或人因敏感期学习过程存在缺陷致跟随反应和依恋反应不对同类而转向异类)
55430	maline	n.一种坚韧的比利时产细丝网
55431	malines	n.马林丝纱罗(一种比利时产的细丝网)
55432	malinger	vi.装病
55433	malingerer	"n.装病以逃避责任者,装病的人"
55434	malingery	n.装病
55435	malinois	n.=Belgian Malinois
55436	malinowskian	"adj.(波兰裔英国社会人类学家)马林诺夫斯基的,马林诺夫斯基学说(或著作)的"
55437	malism	n.现世邪恶说
55438	malison	"n.诅咒,咒骂"
55439	mall	"n.购物商场,商业街,林荫路"
55440	mallanders	[复]n.[用作单] =malanders
55441	mallard	"n.野鸭,野鸭肉"
55442	malleability	"n.有延展性,柔韧性,柔顺"
55443	malleable	"adj.有延展性的,可锻的"
55444	malleate	"vt.锻,压延,将...锤薄"
55445	mallei	 malleus 的复数
55446	mallein	n.[生](马)鼻疽菌素
55447	mallemuck	n.大海鸟(泛指海燕、信天翁等海洋鸟)
55448	mallenders	[复]n.[用作单] =malanders
55449	malleolar	adj.踝的
55450	malleolus	n.[解]踝
55451	mallet	n.槌棒
55452	malleus	n.锤骨
55453	mallorca	 马略卡岛[西班牙东部](巴利阿里群岛中的最大岛)
55454	mallow	n.锦葵属植物
55455	malm	n.白垩土
55456	malmaison	n.康乃馨的一种
55457	malmsey	n.白葡萄酒的一种
55458	malnourished	"adj.营养失调的,营养不良的"
55459	malnutrition	"n.营养失调,营养不良"
55460	malocclusion	n.[医](牙)咬合不正
55461	malodor	n.恶臭
55462	malodorant	"n.难闻的东西,恶臭物 adj.=malodorous"
55463	malodorous	adj.有恶臭的
55464	malodour	"n.难闻的气味,恶臭"
55465	malolactic	adj.[生化]苹果乳酸的
55466	malone	"即 Malone,Edmond"
55467	maloti	 loti 的复数
55468	malpais	n.[地](美国南部的)熔岩区
55469	malpighia	adj.[植]金虎尾科的
55470	malpighiaceous	adj.[植]金虎尾科的
55471	malpighian	adj.(意大利生理学家、医生)马尔皮基的
55472	malposed	"adj.[医]错位的,异位的"
55473	malposition	"n.位置不正,胎位不正"
55474	malpractice	n.玩忽职守
55475	malt	n.麦芽
55476	malta	n.马耳他(地中海的岛国)
55477	maltase	n.[生化]麦芽糖酶
55478	maltese	n.马耳他人adj.马耳他的
55479	malthouse	n.麦芽制造厂
55480	malthusian	adj.Malthus 的n.Malthus 主义者
55481	malthusianism	n. 马尔萨斯人口论
55482	maltman	n.=maltster
55483	maltose	n.麦芽糖(亦作maltobiose)
55484	maltreat	"vt.虐待,滥用"
55485	maltreatment	"n.虐待,粗暴对待"
55486	maltster	n.制造(或出售)麦芽的人
55487	maltworm	"n.豪饮者,酒徒"
55488	malty	"adj.麦芽的,有麦芽的,<俚>喝醉的"
55489	maluation	n.评价
55490	maluku	 马鲁古群岛
55491	malvaceous	adj.[植]锦葵属的
55492	malvasia	n.=malmsey
55493	malversation	"n.(政府机关等的)腐败行为,渎职,贪污,盗用"
55494	malvina	n.玛尔维娜(亦作Malvine)(f.)
55495	malvinas	 =Islas Malvinas
55496	malvoisie	n.=malmsey
55497	malwa	n.马尔瓦饮料(一种用小米酿造的乌干达饮料)[乌干达西部土著语]
55498	mam	n.<英方>妈
55499	mama	n.妈妈
55500	mamaguy	"vt.&n.<加勒比英语>哄,哄骗"
55501	mamaliga	"n.(罗马尼亚的)玉米面粥,玉米面糊"
55502	mamaluke	n.=Mameluke
55503	mamba	"n.[动]树眼睛蛇,曼巴(非洲有毒树蛇)"
55504	mambo	"n.曼博,曼博音乐(源于古巴黑人音乐)vi.跳曼博"
55505	mamelon	n.[地]圆丘
55506	mameluke	"n.马穆鲁克(中世纪埃及的奴隶骑兵,原为奴隶)"
55507	mamey	n.=mammee
55508	mamie	"n.玛米(Margaret,Mary 的昵称)(f.)"
55509	mamillate	"adj.乳头状的,有乳头的,有乳头状突出物的"
55510	mamillated	"adj.乳头状的,有乳头的,有乳头状突出物的"
55511	mamluk	n.=Mameluke
55512	mamma	"n.妈妈,乳房"
55513	mammal	n.哺乳动物
55514	mammalia	"n.哺乳类,哺乳动物"
55515	mammalian	n.哺乳动物adj.哺乳动物的
55516	mammaliferous	adj.[地]有哺乳动物遗骸的
55517	mammalogy	n.哺乳动物学
55518	mammals	哺乳动物
55519	mammaplasty	n.[医]乳房成形术
55520	mammary	"adj.[解]乳房的,乳腺的"
55521	mammectomy	n.=mastectomy
55522	mammee	"n.曼密苹果树(一种美洲热带树),曼密苹果"
55523	mammet	n.=maumet
55524	mammey	n.=mammee
55525	mammie	n.=mammy
55526	mammifer	n.<古> =mammal
55527	mammiferous	"adj.[动]有乳房的,哺乳动物的"
55528	mammiform	adj.乳头状的 乳房形的
55529	mammilla	n.乳头
55530	mammillary	adj.<美> =mamillary
55531	mammillate	"adj.<美> =mamillate,mamillated"
55532	mammilliform	adj.乳头状的
55533	mammock	"n.碎片,碎块"
55534	mammogen	"n.[生化](垂体)激乳腺素,乳腺发育激素"
55535	mammogenic	adj.刺激乳房发育的 刺激乳腺发育的
55536	mammon	"n.财富,财神"
55537	mammonism	"n.拜金主义,贪财"
55538	mammonist	"n.拜金主义者,贪财者"
55539	mammonite	n.=mammonist
55540	mammoplasty	n.[医]乳房成形术
55541	mammoth	"adj.长毛象似的,巨大的"
55542	mammotropin	n.[生化]催乳激素
55543	mammula	n.[动]乳头突(如蜘蛛类的吐丝器)
55544	mammy	"n.妈咪,保姆"
55545	man	"n.男人,人类,人,丈夫,雇工;vt.为...配备人手,操纵,在...就位,使振奋;Metropolitan Area Network 城域网"
55546	mana	"n.超自然力量,威望"
55547	manacle	"n.手铐,脚镣,束缚vt.给...上手铐,束缚"
55548	manado	 =Menado
55549	manage	"vi.处理,应付过去vt.管理,控制,操纵,维持,运用,搞成,设法,达成"
55550	manageability	"n.易管理,易处理,驯服"
55551	manageable	"adj.易处理的,易管理的,便于管理的"
55552	management	"n.经营,管理,处理,操纵,驾驶,手段"
55553	manager	"n.经理,管理人员,管理器"
55554	manageress	"n.女经理,女管理人"
55555	managerial	adj.管理的
55556	managerialism	 管理主义
55557	managerialist	"n.经理主义拥护者(或鼓吹者) adj.经理主义的,经理主义拥护者(或鼓吹者)的"
55558	managership	n.经理的地位
55559	managing	"adj.管理的,节约的"
55560	managua	 马那瓜湖[尼加拉瓜西部]
55561	manak	n.(爱斯基摩人用的)海豹打捞器
55562	manakin	"n.[鸟]侏儒鸟(产于中,南美洲)"
55563	manama	 麦纳麦[巴林首都](或译马纳马)
55564	manana	"n.明天,不久以后"
55565	manatee	"n.[动]海牛(水生哺乳动物,体宽扁,尾圆,有鳃壮肢)"
55566	manaus	 马瑙斯[巴西西北部城市]
55567	manavelins	"[复]n.<俚>[海]各式设备,船具"
55568	manbote	n.<英>[律](给封建领主的)家臣遇害赔偿金
55569	manchester	n.曼彻斯特(英国英格兰西北部港市)
55570	manchette	n.(椅子的)靠手垫
55571	manchineel	n.烛台草科之草木
55572	manchu	n.满人adj.满族的
55573	manchuria	n.满洲(我国东北的旧称)
55574	manchurian	n.中国东北人adj.中国东北的
55575	manciple	n.伙食委员
55576	mancunian	adj.曼彻斯特的n.曼彻斯特人
55577	mandala	n. <佛教、印度教>曼荼罗
55578	mandamus	"n.[律](上级法院向下级法院发布的)书面训令,命令书vt.发训令,履行职责令"
55579	mandan	"n.曼丹人(美国印第安人之一部族),其语言"
